;Runden_gesamt;Don;Flo;Gero;Marco;Toni;Juergen;Frind;Majo;Domi;Elias;Tobi;;;;;;;;;;
14.2.;121;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;122;1;0;;;0;;;;;;;;;;;;;;;;
14.2.;123;1;0;;;0;;;;;;;;;;;;;;;;
15.2.;124;;0;;0;1;;;;;;;;;;;;;;;;
15.2.;125;;0;;0;1;;;;;;;;;;;;;;;;
15.2.;126;;1;;0;0;;;;;;;;;;;;;;;;
15.2.;127;;0;;0;1;;;;;;;;;;;;;;;;
15.2.;128;;0;;0;1;;;;;;;;;;;;;;;;
15.2.;129;;1;;0;0;;;;;;;;;;;;;;;;
15.2.;130;;0;;0;1;;;;;;;;;;;;;;;;
15.2.;131;;0;;0;1;;;;;;;;;;;;;;;;
15.2.;132;;1;;0;0;;;;;;;;;;;;;;;;
15.2.;133;;0;;0;1;;;;;;;;;;;;;;;;
29.2.;134;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;135;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;136;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;137;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;138;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;139;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;140;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;141;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;142;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;143;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;144;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;145;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;146;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;147;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;148;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;149;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;150;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;151;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;152;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;153;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;154;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;155;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;156;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;157;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;158;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;159;0;0;0;2;2;;;;;;;;;;;;;;;;
29.2.;160;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;161;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;162;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;163;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;164;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;165;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;166;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;167;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;168;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;169;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;170;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;171;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;172;0;0;0;1;0;;;;;;;;;;;;;;;;
29.2.;173;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;174;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;175;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;176;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;177;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;178;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;179;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;180;1;0;0;0;0;;;;;;;;;;;;;;;;
29.2.;181;0;0;1;0;0;;;;;;;;;;;;;;;;
29.2.;182;0;1;0;0;0;;;;;;;;;;;;;;;;
29.2.;183;0;0;0;0;1;;;;;;;;;;;;;;;;
29.2.;184;0;0;0;1;0;;;;;;;;;;;;;;;;
14.3.;185;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;186;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;187;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;188;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;189;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;190;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;191;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;192;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;193;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;194;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;195;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;196;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;197;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;198;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;199;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;200;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;201;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;202;2;;;2;0;;;;;;;;;;;;;;;;
14.3.;203;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;204;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;205;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;206;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;207;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;208;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;209;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;210;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;211;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;212;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;213;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;214;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;215;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;216;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;217;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;218;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;219;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;220;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;221;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;222;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;223;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;224;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;225;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;226;2;;;2;0;;;;;;;;;;;;;;;;
14.3.;227;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;228;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;229;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;230;0;;;0;1;;;;;;;;;;;;;;;;
14.3.;231;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;232;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;233;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;234;1;;;0;0;;;;;;;;;;;;;;;;
14.3.;235;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;236;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;237;0;;;1;0;;;;;;;;;;;;;;;;
14.3.;238;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;239;0;;;1;0;;;;;;;;;;;;;;;;
9.5.;240;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;241;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;242;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;243;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;244;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;245;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;246;0;;;1;0;;;;;;;;;;;;;;;;
9.5.;247;0;;;2;2;;;;;;;;;;;;;;;;
9.5.;248;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;249;0;;;1;0;;;;;;;;;;;;;;;;
9.5.;250;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;251;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;252;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;253;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;254;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;255;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;256;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;257;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;258;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;259;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;260;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;261;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;262;0;;;0;1;;;;;;;;;;;;;;;;
9.5.;263;1;;;0;0;;;;;;;;;;;;;;;;
9.5.;264;0;;;0;0;;;;;;;;;;;;;;;;
9.5.;265;0;;;0;0;;;;;;;;;;;;;;;;
13.5.;266;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;267;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;268;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;269;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;270;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;271;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;272;0;;;1;0;;;;;;;;;;;;;;;;
13.5.;273;0;;;1;0;;;;;;;;;;;;;;;;
13.5.;274;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;275;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;276;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;277;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;278;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;279;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;280;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;281;0;;;1;0;;;;;;;;;;;;;;;;
13.5.;282;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;283;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;284;0;;;1;0;;;;;;;;;;;;;;;;
13.5.;285;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;286;0;;;1;0;;;;;;;;;;;;;;;;
13.5.;287;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;288;0;;;0;1;;;;;;;;;;;;;;;;
13.5.;289;1;;;0;0;;;;;;;;;;;;;;;;
13.5.;290;0;;;1;0;;;;;;;;;;;;;;;;
13.5.;291;2;;;2;0;;;;;;;;;;;;;;;;
13.5.;292;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;293;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;294;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;295;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;296;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;297;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;298;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;299;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;300;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;301;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;302;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;303;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;304;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;305;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;306;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;307;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;308;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;309;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;310;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;311;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;312;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;313;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;314;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;315;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;316;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;317;0;;;1;0;;;;;;;;;;;;;;;;
20.5.;318;1;;;0;0;;;;;;;;;;;;;;;;
20.5.;319;0;;;0;1;;;;;;;;;;;;;;;;
20.5.;320;1;0;;0;0;;;;;;;;;;;;;;;;
20.5.;321;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;322;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;323;0;0;;1;0;;;;;;;;;;;;;;;;
20.5.;324;1;0;;0;0;;;;;;;;;;;;;;;;
20.5.;325;0;0;;1;0;;;;;;;;;;;;;;;;
20.5.;326;0;0;;1;0;;;;;;;;;;;;;;;;
20.5.;327;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;328;1;0;;0;0;;;;;;;;;;;;;;;;
20.5.;329;2;2;;0;0;;;;;;;;;;;;;;;;
20.5.;330;0;0;;0;1;;;;;;;;;;;;;;;;
20.5.;331;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;332;0;0;;0;1;;;;;;;;;;;;;;;;
20.5.;333;0;0;;0;1;;;;;;;;;;;;;;;;
20.5.;334;1;0;;0;0;;;;;;;;;;;;;;;;
20.5.;335;0;0;;1;0;;;;;;;;;;;;;;;;
20.5.;336;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;337;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;338;0;0;;1;0;;;;;;;;;;;;;;;;
20.5.;339;0;0;;0;1;;;;;;;;;;;;;;;;
20.5.;340;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;341;0;0;;1;0;;;;;;;;;;;;;;;;
20.5.;342;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;343;0;0;;0;1;;;;;;;;;;;;;;;;
20.5.;344;1;0;;0;0;;;;;;;;;;;;;;;;
20.5.;345;0;1;;0;0;;;;;;;;;;;;;;;;
20.5.;346;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;347;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;348;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;349;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;350;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;351;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;352;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;353;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;354;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;355;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;356;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;357;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;358;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;359;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;360;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;361;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;362;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;363;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;364;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;365;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;366;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;367;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;368;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;369;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;370;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;371;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;372;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;373;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;374;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;375;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;376;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;377;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;378;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;379;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;380;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;381;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;382;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;383;0;2;;0;2;;;;;;;;;;;;;;;;
23.5.;384;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;385;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;386;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;387;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;388;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;389;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;390;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;391;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;392;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;393;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;394;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;395;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;396;0;0;;0;1;;;;;;;;;;;;;;;;
23.5.;397;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;398;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;399;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;400;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;401;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;402;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;403;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;404;0;0;;1;0;;;;;;;;;;;;;;;;
23.5.;405;0;1;;0;0;;;;;;;;;;;;;;;;
23.5.;406;1;0;;0;0;;;;;;;;;;;;;;;;
23.5.;407;0;1;;0;0;;;;;;;;;;;;;;;;
29.5.;408;1;0;;0;0;;;;;;;;;;;;;;;;
29.5.;409;0;1;;0;0;;;;;;;;;;;;;;;;
29.5.;410;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;411;1;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;412;1;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;413;0;1;0;0;0;;;;;;;;;;;;;;;;
29.5.;414;1;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;415;0;1;0;0;0;;;;;;;;;;;;;;;;
29.5.;416;0;1;0;0;0;;;;;;;;;;;;;;;;
29.5.;417;0;0;0;1;0;;;;;;;;;;;;;;;;
29.5.;418;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;419;0;0;0;1;0;;;;;;;;;;;;;;;;
29.5.;420;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;421;0;1;0;0;0;;;;;;;;;;;;;;;;
29.5.;422;0;0;0;1;0;;;;;;;;;;;;;;;;
29.5.;423;0;0;0;1;0;;;;;;;;;;;;;;;;
29.5.;424;0;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;425;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;426;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;427;1;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;428;1;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;429;0;0;1;0;0;;;;;;;;;;;;;;;;
29.5.;430;0;0;1;0;0;;;;;;;;;;;;;;;;
29.5.;431;1;0;0;0;0;;;;;;;;;;;;;;;;
29.5.;432;0;1;0;0;0;;;;;;;;;;;;;;;;
29.5.;433;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;434;0;0;0;0;1;;;;;;;;;;;;;;;;
29.5.;435;0;0;1;0;0;;;;;;;;;;;;;;;;
